                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.45037,                 0.5541,                0.86834,                0.99205,                0.99334,                0.99469,                 0.9205,                0.39993,                0.30171,                0.83037,             0.00019451,             0.00019451,             0.00019451
                     49,                0.45007,                0.55626,                 0.8667,                0.99138,                0.99211,                0.99485,                0.91838,                0.40332,                0.30731,                0.83167,             0.00019431,             0.00019431,             0.00019431
                     50,                0.44891,                 0.5501,                0.86535,                0.99163,                0.99464,                0.99476,                0.92018,                0.39347,                0.30291,                0.82633,              0.0001941,              0.0001941,              0.0001941
                     51,                0.44923,                0.54805,                0.86577,                0.98845,                0.99385,                  0.995,                0.91985,                0.39861,                0.30433,                0.82859,              0.0001939,              0.0001939,              0.0001939
                     52,                0.44269,                0.54099,                0.86313,                0.99355,                0.99411,                0.99466,                0.91901,                0.39533,                0.29734,                0.82831,              0.0001937,              0.0001937,              0.0001937
                     53,                0.44468,                0.53404,                0.86415,                0.99326,                 0.9948,                0.99495,                0.91758,                 0.4032,                0.30031,                0.82677,              0.0001935,              0.0001935,              0.0001935
                     54,                0.45232,                0.53378,                0.86862,                0.99185,                0.99426,                0.99499,                0.91744,                0.39896,                0.29438,                0.82941,              0.0001933,              0.0001933,              0.0001933
                     55,                0.45402,                0.54016,                0.86888,                0.99153,                0.99515,                0.99488,                0.91718,                0.40272,                0.29241,                  0.825,             0.00019309,             0.00019309,             0.00019309
                     56,                0.44699,                0.53345,                0.86533,                0.99205,                0.99558,                0.99499,                0.91805,                0.39589,                0.28882,                0.82803,             0.00019289,             0.00019289,             0.00019289
                     57,                0.44835,                0.52077,                0.86389,                0.99264,                0.99162,                0.99467,                0.91345,                0.41487,                 0.2962,                0.83338,             0.00019269,             0.00019269,             0.00019269
                     58,                0.44179,                0.52425,                0.86262,                0.99315,                0.99431,                0.99484,                0.92229,                0.38793,                0.28228,                0.82333,             0.00019249,             0.00019249,             0.00019249
